uname,mid,level,sex,send_time,like,is_sub,text
jiukkjd,355935350,4,保密,2021-04-26 18:57:26,9842,False,本人是搞电梯安装的，干了四年多了，这四年多电梯行业每次电梯出事故后都会有相应的事故调查，调查是什么原因引起的，然后整个行业改进。这四年电梯行业都改进了那些呢？一.增加电梯轿门副锁，电梯未平层时轿箱内无法强行扒开门。二.厅门增加加强筋，底部增加金属导靴，避免外部撞击导致厅门脱落。三.增加检修状态蜂鸣器，当电梯已检修状态运行时蜂鸣器鸣响。四.机房增加厅门短接开关和检修开关。电梯因厅门锁故障时，维修人员可以直接通过机房短接开关直接短接厅门门锁，且短接是检修开关处于开启状态才起作用，避免维修人员用线短接后而忘记拆短接线造成事故。……之前看到有UP发文说调查表200多起特斯拉刹车失灵事件发现都是车主踩错刹车导致，两百多起那不能很好说明特斯拉车是有问题的，有不合理的地方，是不是得改进呀？竟然还有人洗......
我爱汽油车,25589954,6,保密,2021-04-26 20:54:14,598,True,哪个品牌的车能有这么多人说刹车失灵。不说键盘车手，那都多少出镜的车主了，他们难道买了车闲得没事吐槽这些吗…
流浪的咸鱼,3371351,5,保密,2021-04-26 21:00:36,469,True,笑死了，明明是踩不下去，硬生生说“某些车主力气不足导致”看似理中客，实则拉偏架[热词系列_你细品]
疯狂雨人,455622732,4,男,2021-04-26 21:29:36,76,True,回复 @流浪的咸鱼 :失去刹车助力其实也是可以踩下去的不过需要大几十公斤的力量，赛车都是这么踩的，F1更是一百多公斤的刹车力量。但特斯拉显然不应该使民用车刹车力量突然变得很重
华晨宝马售后服务部,399569642,4,男,2021-04-27 18:25:24,3340,False,特斯拉表示：王垠先生作为汽车媒体并不具备检测资质，其给出的问题和结论影响了特斯拉品牌形象，误导了消费者，特斯拉将保留追究责任的权利
雾雨_森林,432066096,4,保密,2021-04-27 19:52:05,106,True,果然是售后部，操作很熟悉嘛[嗑瓜子]特斯拉看不粘锅了
linyuxin16888,21201939,5,保密,2021-04-27 20:23:38,197,True,说得行云流水，你们家也没少干吧[OK]
吧里吧里哇哇,221684771,5,保密,2021-05-13 00:21:48,2,True,回复 @linyuxin16888 :宝马b站有认证官方号啊[笑哭]不知道他这个哪儿冒出来的
海川桑,74428059,5,保密,2021-04-26 22:32:15,4186,False,作为车主来说一句，能量回收制动暂时性减弱确实遇到过同样伴有刹车踏板变硬，目前只知道电池充到100%后必定会出现这个情况，另外的出现时机就比较随机。作为快20年驾龄的老司机我确实能看到这个提示，但是问我老婆，她就一点都没有注意到。对于习惯了单踏板驾驶的车主，制动减弱却没有明显的声光提示，我认为这是极度危险的。
不正经的酋酋,8098672,6,男,2021-04-26 23:51:55,76,True,吓人呀，真的会这样啊......还是随机的，....
没错我叫小米,327307507,5,男,2021-04-27 10:23:33,44,True,回复 @不正经的酋酋 :就是不知道什么时候突然就F1同款150公斤刹车[doge]
ARCHER-Gilgamesh,383614450,5,男,2021-04-27 03:16:11,33,True,如果是有几率出现这个情况真的是十分危险的，第一脚按正常的力踩下去发现踩不动我一个男生都会慌，可能真的要多遇到几次制动踏板变硬才可以有经验应对。本来在深圳就是想买辆特斯拉3性能版来开的，之前Y降价我也有点想冲，还好国产车一直在越来越好搞得我拿不定主意没有买特斯拉，二月份还摇到了燃油车车牌。[笑哭]
小丑竟是我自己69,17428883,6,保密,2021-04-28 22:07:51,1021,False,"特斯拉：我超充站多
比亚迪：你刹不住车
特斯拉：我动力强加速快
比亚迪：你刹不住车
特斯拉：买我的人多
比亚迪：你刹不住车
特斯拉：我自动驾驶牛逼
比亚迪：你刹不住车
特斯拉：咱能不能不提刹车
比亚迪：你自燃
特斯拉…
比亚迪：你自动驾驶撞死过人
特斯拉…
比亚迪：你缝隙能塞手机
特斯拉…
比亚迪：你方向盘失灵
特斯拉：…
比亚迪：你电池没我的好
特斯拉：咱们还是说刹车吧
比亚迪：你刹不住车
特斯拉：我*你个**"
Libetter1,244540843,5,保密,2021-04-30 12:37:22,10,True,好像除了超充站多，没有优点了。。[微笑]
simpleYPL,141083091,5,保密,2021-05-12 23:26:52,0,True,回复 @Libetter1 :谁说的，不用洗车这个有点不算吗[doge]
一包大仙贝,35302122,5,男,2021-04-30 20:13:10,12,True,特斯拉和比亚迪之间的比较叫“比特币”
老干爹辣椒酱,304034071,5,男,2021-04-26 17:56:52,4236,False,我们刹车没失灵，只是刹车助力出bug了，没有启动，而已！
怪粅虐亽,3024504,6,男,2021-04-26 18:25:52,216,True,哎  这句话居然还是官方答复[辣眼睛][辣眼睛]
扣のDIO哒ureyyyy,86893948,5,保密,2021-04-27 17:15:27,0,True,回复 @怪粅虐亽 :没毛病，我要是博尔特我不会刹车失灵[doge]
猫狗_大战,10923416,5,男,2021-04-26 19:11:41,116,True,这个“而已”就很特斯拉[笑哭]
NanSama2333,14603118,5,男,2021-04-27 10:51:35,1556,False,[妙啊]助力泵不工作了，所以你踩不下去刹车撞了，后台显示你没踩刹车，所以是你的问题。
我是你的破壁机,23004889,5,男,2021-04-27 19:36:31,53,True,讲道理，熄火情况下没助力，我男的我也踩不动[捂脸]
雨里望月,68809156,5,保密,2021-05-05 16:47:41,1,True,回复 @我是你的破壁机 :不踩刹车是怎么打火的？
万人血书张三冤,436795684,2,保密,2021-04-26 13:12:13,4476,False,"弹幕里有个说“根本不需要仪表盘，仪表盘会被方向盘挡住”的弹幕。
真是孝死我了。开过车没？[笑哭]"
Hquz,34889728,5,男,2021-04-26 14:04:54,726,True,真的孝，老司机笑死，高速开，头都不敢扭。只能看仪表盘，就直说车中控基本就娱乐功能控空调广播蓝牙导航车机这些，真正的时速胎压油耗这种全是在仪表盘
来潜水的,914421,5,男,2021-04-26 14:54:09,64,True,回复 @Hquz :高速开车，导航大部分时间都是用听的。。头不敢随便扭来扭去啊。。
女人会影响我拔劍速度,12298546,5,保密,2021-04-26 21:51:02,710,False,"1，该单台车的测试数据不足以代表所有特斯拉汽车。
2，该媒体不是专业人士，测试没有可信度。
3，视频中，没有直接证据证明主持人身边的车不是事故车。
4，即使该车是好的，也没有证据证明测试中是用的该车（指主持人身边停着的车）。
5，该车颜色是黑色的，带有被歧视寓意，导致测试数据不准确。
6，主持人站着说话很长时间，有可能说累了，说出的话和想表达的意思可能相反。
7，暂时就这么多，大家平心而论，特斯拉这么好的牌子，你们真的忍心无脑黑？[酸了]"
pota头,106426777,4,男,2021-04-26 22:31:29,29,True,你忘了加狗头[doge]
女人会影响我拔劍速度,12298546,5,保密,2021-04-26 23:58:24,17,True,回复 @pota头 :谢谢宁帮我加上[害羞]
池光映远山,489520378,3,男,2021-04-29 13:39:45,36,True,8，众所周知，地球自转和潮汐的影响，会严重干扰特斯拉的正常驾驶。
西瓜瓜萌萌哒大又甜就两毛,73647609,5,男,2021-05-04 18:35:00,611,False,卧槽，特斯拉空气质量的视频怎么没了？
蒂森克虏伯公司,325140414,5,保密,2021-05-05 01:06:09,11,True,微信平台也删了
李招摇23,390526749,5,保密,2021-05-05 10:44:03,25,True,https://b23.tv/BV1nU4y187D1
f22menqing,31214044,5,保密,2021-05-05 12:14:25,15,True,BV1EV411E75k
义肢跑腿MetaloRunner,297628770,5,男,2021-04-26 19:22:28,1987,False,2月时海南特斯拉停车刹不停，特斯拉技术人员来到实测也刹不停就赖地面有水，4月11赖上海某停车场特撕拉刹不停直接撞墙就赖地面摩檫力低，再之前特撕拉启动有问题的特斯拉赖电网，总结一句，特撕拉就是老赖
心想事诚Vincent,21438857,5,保密,2021-04-26 22:14:55,198,True,笑死了，居然赖地面有水，那踏马的下雨天就不能开特斯拉了对吧，因为雨天刹不住车[辣眼睛][辣眼睛]
PSPPPSSPP,7294907,5,保密,2021-04-27 10:04:12,60,True,回复 @心想事诚Vincent :你还真没说错，国内电动车级别高点的都能做到IP68防水，水到发动机盖了都能继续开，特斯拉这破车水刚过门槛就主控进水动不了了，雨天行驶比燃油车还烂。
比亚迪公司,12115532,6,保密,2021-04-26 16:24:04,810,False,[拥抱]
四川仔姜兔,482918451,4,保密,2021-04-26 18:44:28,23,True,给老子再来一辆唐DM25款的，等这个汉开5年后
华晨宝马售后服务部,399569642,4,男,2021-04-26 20:44:35,59,True,比亚迪表示这波测试躺赢
绯雨斩红丸,94389208,4,保密,2021-04-27 07:57:42,18,True,开你的2级官方号出来让我欺负下[doge][doge]
山城龙虾哥,321634816,4,男,2021-04-26 19:15:18,1642,False,我以前只认为大众不要脸，没想到特斯拉压根没脸
nwljy,443839392,4,保密,2021-04-26 20:16:47,17,True,大众的刹车没问题啊，其他好洗
炯角姬,319180152,5,保密,2021-04-26 20:32:19,120,True,回复 @nwljy :他说大众不要脸不是说的刹车问题，各种车其他毛病太多了，也是不承认，还有各种偷工减料危害生命。特斯拉就更不要脸了，说不是刹车问题，是系统出了个bug而已。跟他没关系，全推给车主，上次推给国家电网被电网公关了，直接道歉，笑死了
山城龙虾哥,321634816,4,男,2021-04-26 21:19:14,209,True,我以前卖车，做过很多4S店，也看到过不少内部资料竞品话术。唯独大众不一样，他是从不说自己缺点专攻别人各种事件。而其它车企资料都是说自己车有哪方面优势有些什么什么。再说大众售后长期有几辆车天窗上面搬砖压一根自来水管，后来我们实在是好奇就去售后问，他们说漏水，找不到原因，只有用根水管冲。总之各种问题，而且厂家对各种问题的索赔等死你。
扬起嘴角逆着风,222830831,5,保密,2021-04-26 12:28:14,2441,False,最严重的问题是，刹车变硬，车主可能以为已经踩到底了
天堂的痕迹,26446666,5,保密,2021-04-26 13:25:17,1092,True,不止时以为这么简单，开惯车的人都知道，踩油门踩刹车都有一个惯用力，当你习惯了用这么多力气去踩刹车，会获得多大的减速效果，如果这时候刹车踏板变硬而你又没反应过来……要知道刹车时机往往就那么几秒钟……
尖叫猫冷鲜鱼,73840506,5,男,2021-04-26 14:29:45,54,True,回复 @天堂的痕迹 :而且平时用的力突然发现踩下去感官发现没减速，恐惧心理导致认识偏差，会让人认为还加速了！所以车黑匣子里只会提示驾驶员踩的不够用力。开过电子辅助转向的车就知道有没有这歌可是天差地别的。换成刹车可想而知得用多大力踩下去才能不死。
好大的大芒果,13166758,5,保密,2021-04-27 06:22:14,412,False,王老师说的第三个问题我碰到过，model y 下地库的时候，由于是一个旋转地库通道，地面上很多减速水泥横条，车辆震动明显，估计是动能回收没了，突然加速，还好我反应快，马上踏住刹车，否则就撞墙上了，现在想来是真的后怕
左手加速新月冰冰中,296073508,4,保密,2021-04-27 11:59:21,61,True,"动力回收我知道，F1梅塞得斯以前就是靠这个系统制霸F1的，但是，我没有给油，没有开启动力功能，他就自动加速是什么意思。
我看不懂，F1看了很多年了，很多汽车行业的新东西都是在F1玩了很多年才民用的。
纯电车的油门不应该挺听驾驶员指挥吗，自动启动不就是说明软件有问题？？

打比方一台手机，咱不管什么牌子，死机了，屏幕没反应，但是电话拨出去了，这种情形下只有两种情况，手机太老，系统需要更新了，凑乎着也能用。
第二种到手没多久，出线问题，我tm当场退货，京东不换以后这个牌子手机我直接拉黑。
怎么到特斯拉这里就那么复杂呢。"
必杀生火人,1560987,5,保密,2021-04-27 13:18:02,15,True,回复 @左手加速新月冰冰中 :审题 因为他下车库 没制动 自然加速
阿猪啊啊,86782907,5,保密,2021-04-27 13:26:16,0,True,诚心求教，没见过实车，只是看大家视频，想问下它是单踏板模式吗？为啥还能刹车，还是骂死可这车不同型号踏板不一样？
CharleGao,12060377,5,保密,2021-04-27 00:00:52,725,False,王老师，能麻烦您们观察一下后视镜吗？频繁切换DR挡再挂p挡，再重新启动，后视镜的位置是否会保存在奇怪的位置。我这个问题出现过四五次了
夜宁桑,37653669,6,男,2021-04-27 04:21:56,33,True,这种车就应该暂时禁售
Feb凉子,116133672,3,保密,2021-04-27 16:59:46,5,True,回复 @夜宁桑 :暂时？应该永远禁止。
CharleGao,12060377,5,保密,2021-04-27 06:03:48,50,True,我说的问题，属于典型的程序bug类问题，咨询过客服，他们目前也没有啥想法，让我去售后中心检查。因为想到王垠老师的测试中，会包含大量的停车倒库，希望能顺便观察一下
antsarmy,3626133,5,男,2021-04-26 12:02:13,700,False,老王发财了，买了一辆兰博基尼上路兜风，突然一辆特斯拉从后面超上来，摇下车窗对着老王大喊：“你开过特斯拉吗？”说完一个加速就开走了。老王心想，这人有病吧，开个特斯拉，瞧把他嘚瑟成啥样了。过了一会儿，又来了一辆特斯拉，照样对着老王大喊：“你开过特斯拉吗？”老王一脸懵逼，刚想骂人，对方一溜烟又跑了。老王心想到底是咋了？开特斯拉的都那么牛逼了吗？此时又来了一辆特斯拉，女司机摇下车窗，刚想说话，老王抢先一步大喊：“你丫开过兰博基尼吗？”女司机一愣，但马上大喊：“我没开过，哥，你也不知道刹车在哪儿吗？”
火里方阵,131447743,5,男,2021-04-26 12:44:34,15,True,太秀了，秀的头皮发麻
三牛大侠,444317565,4,保密,2021-04-26 12:56:38,30,True,上次看到这个段子还是上次[doge]
intel_大楼_,37435547,5,男,2021-04-26 13:11:44,5,True,回复 @三牛大侠 :你搁这搁这呢[doge]
Sun凉大大,19931918,5,保密,2021-04-26 12:03:54,1763,False,"转自另一个视频底下的评论[doge][doge]
特斯拉汽车失灵是因为他做了个电机扭矩补偿。。ESP模块的问题，特斯拉在博世的模块外边又加了一层控制系统其实是软件的bug。还有代码层面的东西，特斯拉又不会公开，他自己哪天一个ota解决了，回头咬定没问题，特斯拉这个企业就这个风格。特斯拉的ESP，EPS，iBooster，这三个部件仍然是独立的。并且还是和电机控制器（FMCU）在一路CAN上，也很大程度上支持了电机控制器（MCU）与ESP是有直接交互信息的！其实问题就在于MCU是特斯拉自己做的，用来控制博士的ESP，博士的ESP是没问题的，特斯拉犯了一个软件工程上的错误。。用一个可靠性相对低的系统去控制一个高可靠的模块。博士的Ibooster最开始也出过这个问题，第一批19的CT6也出过刹车失灵，博世后来刷了软件了，好处是CT6是个汽油车 没有扭矩补偿，失灵了 只是刹车助力没了
特斯拉这个。。。失灵了 系统判定要补偿扭矩 反而加速了。。。"
嗯老哥,103617040,5,男,2021-04-26 12:32:25,14,True,翻译翻译
追忆似水の年华,12458818,5,男,2021-04-26 12:35:49,153,True,"回复 @嗯老哥 :简单点，就是代码写的巨屎
特斯拉还有个问题是取消车速显示集成中控，然后他的垃圾软件水平导致会导致死机
你想想高速路上开着什么都不显示了"
九月于终,14221354,3,保密,2021-04-26 12:33:00,189,True,特斯拉为什么现在还在出问题？答案是找软件BUG没那么容易。从百车全说那里听来的，当年丰田也是刹车问题，美帝摁着他的头硬是查了八个月才找出问题代码。
苏格宇,327566809,4,保密,2021-04-26 13:10:31,1098,False,我看完这个视频，我有我自己的结论：刹车没有失灵，但刹车板变硬了，这是系统或者设计的缺陷，对于老手来说没有失灵，对于新手或年纪大的或女司机来说，这是刹车失灵了，因为刹车板踩不下去，所以数据里面没有踩刹车的数据记录，都踩不下去，记录个鬼。
老阿布,215400,5,男,2021-04-26 14:04:21,143,True,所以特斯拉根本不敢公开油门刹车开合角度数据
佚仙,299021,5,男,2021-04-26 16:09:01,45,True,回复 @老阿布 :角度数据也没用，踩不下去怎么有角度。除非在踏板表面加一个压力传感器
