send_time,text
2021-05-29 09:14:58,这也叫密集？
2021-05-29 09:37:10,你是觉得堵车才能叫密集？
2021-05-29 12:46:34,怎么一直被超车啊
2021-05-29 14:18:02,这车速也太慢了吧
2021-05-29 15:13:51,这速度还不如坐公交(狗头)
2021-05-29 15:26:18,电动车一个个超车
2021-05-29 15:47:56,太慢了，占用交通资源
2021-05-29 16:37:14,让上道吗？
2021-05-29 16:40:17,如果速度快了，出事了。
2021-05-29 16:40:35,那估计到时候你们就会反对自动驾驶了
2021-05-29 16:41:36,凡事都有个经过努力
2021-05-29 16:55:43,没旁边电瓶车快
2021-05-29 17:22:09,车流量不小了，交通情况有点复杂
2021-05-29 17:33:17,时速15公里每小时
2021-05-29 19:55:37,明显低于平均车速反而不安全
2021-05-30 10:45:18,速度太慢了，要优化！
2021-05-30 10:46:44,这个车限速15码？
2021-05-30 13:41:15,车顶上有蘑菇么，有蘑菇的话就无意义
2021-06-01 19:53:27,大蘑菇头
2021-06-02 00:19:00,慢速，简单路况，跟车道保持功能没差别啊，咋就自动驾驶呢
2021-06-02 12:08:39,这是15码？？小电瓶车都超了好几辆。。。
2021-06-05 02:21:05,助动车都比你开的快
2021-06-05 15:47:43,无人驾驶自行车？
2021-06-14 15:34:07,测试 无人驾驶
2021-06-23 00:06:41,这当然算密集了。。是要寸步难行吗？
2021-10-28 09:47:05,科技都是一步一步来的，你看波士顿机器人以前是啥玩意儿
2021-11-08 14:22:29,湖南衡阳？
2021-11-08 14:24:06,这怎么不密集，不抬杠能死么，不会说话不说能死么
2021-11-08 14:36:02,这车流已经算不少了吧
2021-11-19 16:59:12,一直保持这个速度是很安全，但是人做不到。未来自动驾驶一定是最安全的出行方式！ 
2022-08-25 11:47:53,人家还在测试阶段
2022-09-30 15:17:10,这不是衡阳嘛
2022-11-20 00:21:12,在画龙
