send_time,text
2021-10-10 16:24:31,玻璃上有油膜
2021-10-14 09:16:25,油膜是个啥？
2021-10-14 15:37:11,疏水层
2021-10-15 21:03:11,就是油膜 影响人眼和摄像头
2021-10-16 22:24:58,这么玩只能中午开
2021-10-27 15:48:50,下雨天还是自己开的好
2022-01-08 21:21:57,油膜是河南那边用面炸出来的一种馍
2022-02-07 21:15:30,早晚得出事
2022-04-14 14:36:49,早晚要出事
2022-04-30 20:28:42,因为早晚会出事儿
2022-05-06 18:07:58,因为早晚出事
2022-05-07 10:39:35,女司机还是相信车多一点
2022-05-08 01:40:11,没开过特斯拉 不知道自动驾驶多方便
2022-05-08 22:14:55,这不就是个车道保持？哪来的自动驾驶
2022-05-17 12:01:08,这个车窗玻璃怎么这么不清楚呀？
2022-05-25 10:25:02,没有激光雷达毫米波雷达也敢自动驾驶，而且还有可能刹不住
2022-05-26 18:17:24,生前珍贵影像
2022-06-03 11:48:41,特斯拉是用摄像头感应的，雨雾天不靠谱
2022-06-08 01:45:20,这隔音
2022-07-10 07:48:01,这也配叫自动驾驶？就这算个什么。
2022-07-10 07:48:28,自动驾驶什么定义不去了解一下
2022-07-10 18:40:15,哈哈哈哈哈
2022-07-14 19:01:14,车主目前情绪很稳定，一动不动了
2022-07-23 00:28:59,现在的新款车啥车没有这个啊？
2022-07-25 23:58:20,都看不见路了还这么快
2022-07-26 00:05:12,方便你大爷。方便，死都不知道咋死的”
2022-07-29 08:34:34,双手离开方向盘拿手机拍视频不出事真的天理难容
2022-08-01 09:14:52,放啥手？即使L3，离不管差了两级
2022-08-03 23:22:00,方便送你上西天
2022-08-09 18:13:42,哈哈手机没坏吧，还是人身安全重要
2022-08-10 15:58:43,不是雾灯吧
2022-08-13 22:30:38,玩命
2022-08-14 12:27:34,都喜欢开快车道？
2022-08-17 22:38:14,玩儿的就是心跳
2022-08-19 20:28:18,才发现原来特斯拉连仪表台都没有
2022-08-24 20:26:25,找刺激自己找个不危害公共安全的地方好么
2022-08-25 18:07:10,出事概率挺大的。。。
2022-08-26 00:47:13,勇
2022-08-26 21:17:25,这种天气还不如开雾灯
2022-08-27 02:22:45,没有人比中国人更懂特斯拉
2022-08-30 06:36:49,特斯拉：那你们中午开呗
2022-08-31 17:29:02,多少没开过的键盘侠 井底之蛙很开心的样子
2022-09-01 23:36:38,没死 不错
2022-09-09 10:41:28,这是开的敞篷车么？这声音挺立体啊
2022-09-20 14:55:03,下雨感走内车道，不怕积水吗
2022-09-21 18:32:51,油形成的一层膜
2022-09-23 13:53:37,这玩意应该是驾驶辅助吧！
2022-09-28 12:36:31,有本事你睡觉啊别看着
2022-09-30 18:09:46,没仪表盘是挺难受的
2022-10-01 04:04:39,幸亏你没有挑战摄像头的极限！
2022-10-02 16:52:29,等着美国黑客把车开到爆破场地当炸药包
2022-10-05 22:08:13,这就l2
2022-10-06 23:42:53,特斯拉没有仪表盘吗？！
2022-10-17 20:14:39,作死的节奏
2022-10-19 14:50:11,买这破玩意就是找死
2022-10-24 15:56:02,智己l7也不敢这么玩
2022-10-27 09:55:01,还有人敢开特斯拉，好惊悚啊
2022-10-27 18:13:25,现在的车速是低于高速限速以下吗
2022-10-29 19:15:58,自己想死请不要连累别人
2022-11-03 12:28:54,这种暴雨天气也敢开自动是先自己活太久么
2022-11-13 14:54:33,撞和不撞就和双缝干涉差不多
2022-11-14 00:09:48,雨天是最容易感应错误的时候，多试几次就好
2022-11-15 11:13:34,雨天用辅助是嫌命长？
2022-11-15 13:22:59,暴雨当然不能开太快
2022-11-15 13:33:18,自动驾驶还不允许上路啊，这是违法吧
2022-11-15 15:08:05,勇士不怕死
2022-11-16 13:28:44,保持距离吧
2022-11-16 15:35:54,特斯拉连仪表盘都不配
2022-11-17 16:22:24,举报危险驾驶
2022-11-19 00:45:12,风和日丽也就算了，下雨天，特斯拉又没有激光雷达，祝您早死早超生
2022-11-19 11:50:12,别的不说，双手离开方向盘，你已经违法了
2022-11-19 14:15:54,开辅驾都是马路杀手，没公德心
2022-11-19 22:02:34,我去，以后遇到特斯拉一定要远离，靠，害人。
2022-11-20 10:45:32,这功能很棒但只能白天用，因为早晚会……
2022-11-29 18:53:17,很帅，但不知道还能不能看到下一个视频
