send_time,text
2021-04-17 20:40:46,估计算L4级 自动驾驶了
2021-04-17 22:35:58,最蓝的
2021-04-18 01:59:54,最蓝
2021-04-18 03:17:22,是吊打特斯拉…
2021-04-18 03:33:33,特斯拉根本不配在这儿比
2021-04-18 09:23:21,牛逼
2021-04-18 10:54:25,蔚来呀
2021-04-18 11:05:23,这中控是临时加装上去的？
2021-04-18 13:26:42,车好看，系统牛，我要买
2021-04-18 13:56:44,这是碾压，特斯拉他配吗 
2021-04-18 14:26:04,蔚来快跟华为合作呀…
2021-04-18 14:26:13,蔚来快跟华为合作呀…
2021-04-18 15:17:31,很蓝
2021-04-18 15:30:16,这个急刹
2021-04-18 16:12:26,很蓝的啦
2021-04-18 17:09:26,走啊。你停个毛线
2021-04-18 17:10:30,干翻特斯拉
2021-04-18 17:13:10,38万你买吗
2021-04-18 19:41:48,比特斯拉强多了
2021-04-18 20:36:26,特斯拉自动驾驶算个锤子，配和这比？
2021-04-18 21:11:38,朋友买的特斯拉都准备换车了
2021-04-18 21:55:15,念经呢？
2021-04-18 21:55:26,好蓝
2021-04-18 23:57:49,会避井盖吗？
2021-04-18 23:57:56,会避小石头吗？
2021-04-18 23:58:32,会避货车掉落物吗
2021-04-18 23:58:48,会避鬼探头吗
2021-04-18 23:58:57,遇到碰瓷怎么处理？
2021-04-18 23:59:17,遇到倒地的大妈怎么办
2021-04-19 00:00:19,遇到过刹车失效吗？
2021-04-19 09:04:17,特斯拉算个球
2021-04-19 10:07:13,这不比特斯拉强得多
2021-04-19 10:18:17,特斯拉配吗
2021-04-19 10:38:16,特斯拉算个屁
2021-04-19 12:37:19,你再骂
2021-04-19 12:58:01,我等第三代doge
2021-04-19 12:58:11,这么多摄像头怎么碰瓷
2021-04-19 13:20:20,特斯拉能跟华为这个方案比吗，特斯拉是辅助驾驶，华为是全自动驾驶啊我的哥
2021-04-19 13:43:44,就是吹的，肯定没特斯拉nb，可以闭嘴了吗
2021-04-19 14:48:41,38w能在现在买到自动驾驶车不值吗？
2021-04-19 14:51:48,自动驾驶不比人驾驶厉害
2021-04-19 15:16:57,目前最强没问题
2021-04-19 15:17:59,会
2021-04-19 15:18:12,比人反应快
2021-04-19 15:43:16,余大嘴的牛都实现了
2021-04-19 15:51:13,特斯拉：比我强
2021-04-19 16:40:58,你再骂
2021-04-19 16:44:52,特斯拉不香了
2021-04-19 16:54:26,说真的，比我自己开还紧张
2021-04-19 18:29:43,毫米波雷达直接可以探测大货车遮挡下的前前车，前前前车，“透视挂”
2021-04-19 18:51:45,不比特斯拉差？
2021-04-19 18:55:56,是ADAS吧
2021-04-19 20:03:08,牛啊牛啊
2021-04-19 20:16:49,比特斯拉好
2021-04-19 20:53:30,优化下刹车就更好了
2021-04-19 21:12:54,这是停住了？
2021-04-19 21:56:24,遇到交警指挥？能识别
2021-04-19 22:14:48,是吊锤
2021-04-19 23:30:03,你再骂？
2021-04-19 23:40:26,下雨有影响吗
2021-04-20 00:02:25,不管了，吹就行了
2021-04-20 04:27:15,急刹多了点
2021-04-20 09:23:42,华为是L4，特斯拉才L2，不是不差，是那种很特别的吊打
2021-04-20 09:24:44,比较消耗工程师
2021-04-20 10:58:45,是他的pad
2021-04-20 10:59:28,牛逼
2021-04-20 11:25:48,这是真的干翻特斯拉，个人认为目前最强辅助驾驶
2021-04-20 11:47:11,谦虚了，碾压特斯拉
2021-04-20 12:13:13,特小子酸死了
2021-04-20 13:34:04,特殊天气可以吗，能见度滴，雨雾大，黑夜，大风等，试过没有，
2021-04-20 14:57:46,有个闯红灯
2021-04-20 14:58:34,特斯拉就压根就没这操作好吧
2021-04-20 15:32:24,特斯拉没刹车，你也要去掉吗
2021-04-20 15:40:30,感觉顿挫挺强的，刹车柔和点就好了
2021-04-20 16:53:50,父子局
2021-04-20 17:03:01,牛逼
2021-04-20 17:04:38,碾压特斯拉
2021-04-20 17:04:54,世界第一
2021-04-20 18:42:57,谦虚了，吊锤特斯拉
2021-04-20 19:28:21,这社会都是蹭蹭蹭。
2021-04-20 19:50:33,特斯拉能比吗
2021-04-20 20:30:58,最蓝？
2021-04-20 20:34:27,吹的牛逼都实现了
2021-04-20 20:36:25,这可比特斯拉强
2021-04-20 20:37:06,故意的故意的，你都领先这么多了还损特斯拉一嘴哈哈
2021-04-20 21:01:05,它怎么知道，我要左转
2021-04-20 21:03:50,说的好，不服的来让别人去拍
2021-04-20 21:26:27,特斯拉算个求
2021-04-20 21:52:14,特斯拉现在连刹车都要选配了
2021-04-20 22:10:49,刹车可以优化
2021-04-20 22:16:53,特斯拉：不带这么骂人的
2021-04-20 22:48:35,特斯拉重新定义了自动驾驶，华为比不了特斯拉的脸皮
2021-04-20 23:01:07,等待区
2021-04-21 00:02:09,这些雷达运用在大货车上绝对是福音
2021-04-21 00:13:29,目前最强
2021-04-21 00:21:08,把特斯拉按在地上爆锤
2021-04-21 07:38:53,←现在而已
2021-04-21 08:35:08,左转转大弯，现实很多都错了。
2021-04-21 09:12:33,是不是刹的有点死，提前稳一点刹
2021-04-21 10:49:09,比特斯拉强多了
2021-04-21 11:03:32,特斯拉能比吗？
2021-04-21 12:10:55,特斯拉有个吊的严格测试
2021-04-21 12:12:29,没特斯拉牛逼的脑子去看看，特斯拉什么垃圾啊
2021-04-21 13:05:08,导航啊
2021-04-21 13:05:24,这已经秒特斯拉了
2021-04-21 14:18:14,？？？
2021-04-21 15:17:28,特斯拉 刹车失灵
2021-04-21 15:37:10,手扶是为了防止出问题
2021-04-21 15:43:43,特斯拉算老几
2021-04-21 16:12:06,刹车还是蛮急的！坐着会不舒服刹车蛮急的！估计刹车有点急！还需要优化
2021-04-21 16:29:23,不手扶 会警告退出自动驾驶
2021-04-21 16:34:46,最蓝
2021-04-21 16:59:02,特斯拉算个球，
2021-04-21 17:17:15,不好意思，你说错了，是吊打
2021-04-21 18:32:35,最蓝的
2021-04-21 18:52:36,碾压啊 
2021-04-21 19:13:16,看了个国外tsl毛豆3自动驾驶测试，那玩意时不时就要人接管一下。最搞的是安全员还在吹“这就像宇宙飞船”差点笑死。
2021-04-21 19:31:43,最蓝的
2021-04-21 19:32:12,最蓝的
2021-04-21 20:23:54,这不就实现无人驾驶了吗
2021-04-21 20:39:10,已经默默干了7年，牛逼
2021-04-21 20:59:24,这里不行 如果是我大脚油门就冲过去了 
2021-04-21 21:53:22,注意，保密!
2021-04-21 21:53:40,商业机密
2021-04-21 21:54:35,最蓝的!
2021-04-21 22:00:51,直接碾压特斯拉了
2021-04-21 22:09:47,买早了，唉
2021-04-21 23:00:02,手敢拿来吗
2021-04-21 23:22:54,长沙欢迎你
2021-04-22 01:49:41,湖蓝人
2021-04-22 01:56:59,不懂就问，市区特斯拉自动驾驶能用吗？
2021-04-22 02:20:43,能刹车的车就是好车，特斯拉除外
2021-04-22 02:24:44,好蓝
2021-04-22 07:44:08,碾压特斯拉
2021-04-22 08:19:19,这里车辆识别错了
2021-04-22 08:21:36,最蓝的
2021-04-22 09:23:12,我看行
2021-04-22 09:25:01,是秒特斯拉
2021-04-22 09:36:40,刹车好像不柔和
2021-04-22 10:04:36,不是一个级别
2021-04-22 10:13:49,还能进待转区
2021-04-22 11:14:27,激光雷达真的牛逼啊
2021-04-22 11:16:11,特斯拉的自动驾驶真的不要试 撞了那么多
2021-04-22 11:21:54,国家之光
2021-04-22 11:23:25,特斯拉就是个渣渣
2021-04-22 11:39:59,最兰的场景
2021-04-22 11:41:02,它兰了，太兰了
2021-04-22 11:41:51,太兰了
2021-04-22 11:51:46,特斯拉:刹车给我控制包你安全
