uname,mid,level,sex,send_time,like,is_sub,text
等于二若隐若,1677704,6,保密,2022-04-13 22:25:00,56,False,自动驾驶司机就不用隔离了，也不用怕疫情传播了，快点投入实战吧
琥珀dou,360639426,5,保密,2022-04-14 17:58:09,0,True,搞到上海去送货。
35857502133_bili,383657465,5,保密,2022-04-15 21:33:15,2,True,不是照样做个安全员吗
kimi颜泽,2016864,6,保密,2022-04-16 17:36:47,0,True,自动驾驶能解决司机隔离的问题，但是解决不了垄断供货权的问题。
八上七下001,434269076,5,保密,2022-04-23 07:18:39,0,True,加油，充电这么办呢？油枪电枪自己飞上去？
隧道全互通,1346129699,3,保密,2022-04-23 16:39:43,0,True,防控对象包括司机，同时也包括车辆和物品等，常态化应急兼得预案中，必然包括汽车等，仅仅隔离时间方式方法等有所不同，仅供参考
等于二若隐若,1677704,6,保密,2022-04-23 19:57:34,0,True,回复 @隧道全互通 :车辆可以直接消毒啊，人却不行，还得隔离防备潜伏期病毒。车辆消毒完了就不怕了。
等于二若隐若,1677704,6,保密,2022-04-23 19:57:58,0,True,回复 @八上七下001 :显然充电站，加油站也是有人上班的。
八上七下001,434269076,5,保密,2022-04-23 21:56:11,0,True,"回复 @等于二若隐若 :加油站通常有员工
但是充电桩一般是自助的，在手机app上缴费的。"
隧道全互通,1346129699,3,保密,2022-04-24 08:59:09,0,True,回复 @等于二若隐若 :人也是可以消毒的，参考医疗、养殖、实验室等等出入必经消毒通道…… 仅供参考， 穿戴防护套装不怕接触，可以通过高温、消毒水等多种方案实现，具体以各防控部门确认安全的方式为标准。仅供参考
多米乐呵呵,477339248,4,保密,2022-04-24 10:07:32,1,True,回复 @35857502133_bili :国外已经有取消的了  你不能一口吃个胖子吧
Autobusprime,398972523,4,保密,2022-10-28 22:48:51,0,True,回复 @35857502133_bili :因为国家规定要有人，而且现在是持续研发，肯定有人的
啦啦啦的照星,11534499,6,男,2022-04-13 13:41:14,44,False,woc，依稀记得我去年在20分钟的视频下面评论过“长视频多来点”，结果直接上了6h，nb[笑哭]
好地方bug,7651475,5,保密,2022-04-13 14:29:21,15,False,卧槽，6个小时，等我先把WiFi打开
天使的星辰剑,397392998,5,男,2022-04-18 15:00:17,10,False,现在有安全员是一个过度期。过了路测是允许无人车自己上路不带安全员的。只要指挥中心下命令和路上的片区技术员就能管理本地段内的上千量货车运营。现在的安全员只是过度阶段怕出现意外。
天使的星辰剑,397392998,5,男,2022-04-18 15:10:29,0,True,像现在城市间的高速路。就是测进出场地市区和高速路上修路，路况下雨下雪起雾沙尘。有车祸现场等特殊情况时车辆控制系统的判断和处理。还有某些探测器的全天候运行情况是否稳定。一旦故障车辆在错误信息下会做出的反应。甚至能否自身判断故障屏进入安全区域等待救援。其实正常路段的测试在模拟器上都修改的很完美了。
脑阔瓦特了,478184028,4,男,2022-04-30 22:24:43,1,True,别相信什么一镜到底😄
国产车必崛起,6914924,5,男,2022-04-13 18:44:50,10,False,这审核君得哭着看好几遍[辣眼睛]
一分钟读世界,381122624,4,保密,2022-04-14 22:51:23,9,False,司机的手不痒的吗
属于空欢,181698207,5,男,2022-04-15 00:41:58,2,True,有没有一种可能，司机根本不会开车[doge][doge][doge]
zmxbaby,287128966,5,保密,2022-04-15 16:42:14,0,True,回复 @属于空欢 :没有可能，安全员都是经验丰富的驾驶员，用于处理复杂场景，应对突发事件
樱满集あ,13566431,6,保密,2022-04-15 19:07:05,0,True,司机看着就烦[doge]
哗哗风的秋天,1619776530,3,保密,2022-04-19 09:58:21,0,True,回复 @属于空欢 :司机一般都是非常赞的老司机
