send_time,like,text
2022-04-23 20:46:24,0,你们这个AI代码有没有bug？麻烦出示一下24小时的system log，和48小时内本市程序员的code review报告
2021-04-29 15:07:48,0,啥意思啊，我没看懂
2022-08-19 08:21:12,2,就算是自动驾驶你敢把命交给一个机器吗
2021-04-30 23:31:53,1,回复 @codmw :唉 好吧  那其实反而更加提心吊胆了  也就是路上堵车跟车方便一些  开快了不敢给它开
2021-05-08 21:40:38,0,华为想突围阻碍重重，因为资本分不到一杯羹，所以你很难看到有大规模吹华为的
2022-02-18 20:05:03,0,回复 @no-code :系统总是在不断完善的
2021-04-23 16:14:15,0,7年啊。。。华为一直韬光养晦，真是不容易啊。做出来全自动驾驶，真的太强了！隔壁的根本比不上好吗！华为牛比！[打call]
2021-04-21 14:02:10,0,吹牛倒是实现了，就是价格也上天了！
2021-04-20 18:35:19,0,回复 @见证历史展望未来 :有传感器
2021-05-01 14:38:01,0,回复 @似柳风 :你都没搞懂我意思，我说的是左转时急刹那一段，很容易被后面的车追尾啊
2021-04-20 23:25:49,0,高速上面的自动驾驶怎么样，才是主要的吧，会不会提前预判之类
2022-01-30 21:54:28,1,牛啊牛啊
2022-02-07 19:14:13,0,感谢提醒！Up主才反应过来开启了精选评论。。
2021-04-23 21:31:52,1,战斗机只有无人战斗机，不再考虑驾驶员的承受极限才能解放出更多性能
2021-09-22 22:10:38,1,我还以为特斯拉装上了发动机了……[doge]
2021-04-29 23:09:12,9,这是robotaxi，车不卖的，用来跑出租，和华为那集成到车里的辅助驾驶不是一个level的
2021-05-08 20:26:36,0,回复 @我是大叔你不懂 :华为有了
2021-05-03 17:54:12,0,正常评论下面抖机灵的小学生咋这么多
2022-11-22 09:41:48,0,没有仪表盘，系统全在中控台，动不动还死机，真是天才的设计[热词系列_吹爆]
2022-01-31 23:10:00,1,这是智能算法的一小步，却是人类进入智慧生活的一大步！up加油！
2022-04-23 16:58:50,0,为何？有哪些办法可以提速？
2022-07-25 22:59:22,0,model x
2021-10-12 20:45:00,0,回复 @Muikku :[呲牙]原来我10年用户就抽一次奖就热衷于抽奖了？？？
2022-02-04 20:04:38,0,评论呢？
2021-04-28 09:12:41,0,回复 @蓝112 :那也不用这么长，我们这在中间会分割开，体感好很多
2021-08-01 12:13:21,0,【特斯拉VS汉EV     简单碰撞预测-哔哩哔哩】https://b23.tv/eMYoIf
2022-02-17 15:52:07,0,除非机器有智能，靠程序实现自动驾驶是不可能的
2022-01-28 18:22:51,5,"是up主厉害还是特斯拉厉害呀
我感觉可以吊打特斯拉"
2022-02-14 16:42:20,0,这个问题打车不就能解决吗？
2022-02-14 17:03:50,1,副座是路书？[doge][doge][doge]
2021-05-02 21:57:44,3,没事，高速的时候踩不下去刹车也就惊险一下，等去到那边的时候就已经不痛苦了
2021-04-28 23:56:47,0,有没有厂家用你们家的方案，准备量产的？
2021-04-23 03:08:10,0,市井去看42号车库的视频啊，无标线小道，外卖车，对向车，路人，到处乱窜
2022-08-18 23:27:23,2,➕1 最满意的是2.7.1
2021-04-29 15:18:31,4,[doge]双手没握住方向盘，扣分
2021-04-18 21:05:02,0,？？
2021-10-11 15:15:04,2,主要还是自己随时准备接管，不要浪，出事的都是放松的或者嘚瑟的[doge]
2021-04-24 11:35:59,0,华为牛逼
2022-02-22 01:59:25,0,你们知道个灯，这就是每个汽车配备一个远程驾驶员，你开启自动驾驶，那个人就开始干活 远程监控开车[滑稽]
2021-04-17 19:26:16,534,假的，破案了，反转了，华为租下了整个上海，路上全是演员[doge]
2022-04-17 16:55:27,1,请你解决一下全国运营人员转岗问题[辣眼睛]
2021-05-12 16:52:46,0,都这样了。还他么那自己生命开玩笑。。
2022-01-29 01:04:46,1,[热词系列_知识增加][热词系列_可以]
2021-04-17 13:32:27,0,美团，饿了吗，腾讯，阿里，[脱单doge]
2021-06-25 10:11:59,0,回复 @基利亚姆耶卡 :这个世界上总有谨慎的人。
2021-04-19 16:37:57,2,回复 @奶香x :赛力斯sf5…音响都做了，华为nb
2021-04-24 17:57:13,0,动了资本的蛋糕了
2021-04-28 14:00:28,0,第一次听说减震带，那么问题来了，它的功能跟用途是啥，想知道[妙啊][辣眼睛][吃瓜]
2021-04-21 06:54:21,0,长城表示，华为公主是我代言人[抠鼻]激光雷达不让我首发[抠鼻]
2021-04-29 09:31:59,0,坟车
2021-10-14 12:46:57,0,回复 @npjfx :踩不处abs是因为轮胎没抱死，就是说你的刹车最大也到不了轮胎的极限，要么你升级过轮胎要么你刹车泵小了，刹车力不足
2022-06-30 10:50:18,0,你们是真敢用啊，我真服了，昂撒人拿你们来收集实验数据呢
2022-02-24 20:16:47,0,此地无垠测出来的嘛
2022-02-01 14:50:20,1,wow
2021-04-18 12:28:10,4,回复 @万人血书张三冤 :其实城市路况比高速路况复杂得多。。。。自动驾驶这块就看小鹏和华为PK了
2021-05-23 10:30:35,2,回复 @怪物Rex :但是更早之前是宣称自动驾驶的，而且马斯克嘴放火箭，承诺的完全自动驾驶多少年了还是没影
2021-04-17 15:03:00,17,“德拉曼专车为您服务”[doge]
2021-04-29 15:18:31,4,[doge]双手没握住方向盘，扣分
2021-04-21 20:42:25,0,三颗雷达 贵死你
2022-02-18 14:57:19,0,这去趟机场，车把人送过去，车还能回自己家车位。。。回来时候车自己来接机。这想想就挺激动
2021-10-10 12:51:43,4,以前都是质量抬品牌，现在是品牌抬质量
2022-09-06 18:13:48,0,回复 @就是那个工 :送的是因为整车涨价了，其实还是早一批买的划算。
2021-05-01 16:05:55,1,回复 @小小橥 :上海的立场还正啊[辣眼睛]
2022-02-09 00:41:59,0,跟车留那么多的车距，在大城市还好，小城市或者其他地方，其他司机早就在你前面插队了
2021-05-14 01:20:35,0,回复 @求过求过CFA :高速巡航挺好用，但是用的时候怎么也没法放心。
2021-08-04 17:45:03,0,"如果不相信自动驾驶技术的人来开的话要同时观察环境和车的动作，还挺累的，还不如自己开，然后简单环境能有个车道保持和自动跟车这样的简单但可靠的功能可以减轻疲劳
自动驾驶要应用先要做到可靠，然后做到可信"
2021-04-25 21:58:35,0,上小学没？
2021-05-08 11:50:16,1,回复 @118302899 :你怎么这么欠赞呢[doge]
2021-04-19 13:47:28,8,回复 @迪迦快乐型 :[疑惑]不应该吧，我看到好几个这种视频了。应该只是根据用户浏览喜好推荐的。
2021-04-27 18:37:20,0,干翻华为
2022-02-22 17:21:15,0,火车自动驾驶几乎就是控制速度。飞机航线上空况都很简单，而且遇到气流颠簸之类的状况还是人工接受
2021-04-26 07:05:52,0,和小米差不多吧
2022-02-23 02:06:08,0,那以后的人还能享受到驾驶的乐趣吗
2022-02-05 12:11:27,22,视频里说慢的让我想到以前火车刚出现的时候。自动驾驶也一样，需要大量数据和技术的沉淀，自动驾驶从开始研发到上路再到现在才多久？慢的话1.是为了安全2.因为如今自动驾驶技术不是特别成熟（能拿到上路牌照的已经是技术相对成熟的了）3.实际路况比测试路况要复杂地多。所以别再说开得慢了，等到技术成熟的那一天，自然会快起来[奋斗]
2022-08-07 17:32:27,0,副驾其实是路书
2021-04-21 23:14:29,0,华为：你毁我芯片，我毁你产业！[捂眼]
2021-04-18 14:34:55,4,就好像考试一样，给你范围，但不告诉你题，不照样有区分度
