send_time,text
2022-04-13 14:10:45,牛啊 牛啊
2022-04-13 14:42:48,牛！
2022-04-13 14:55:07,驾驶员也再抖吗233333
2022-04-13 16:15:20,小马是马化腾吗
2022-04-13 20:12:46,后面的车都离得这么近了才发现么
2022-04-13 21:39:45,这并排开的
2022-04-13 23:35:27,卡车先进入无人驾驶时代
2022-04-13 23:35:51,卡车司机完了
2022-04-13 23:56:04,开头手开吗
2022-04-14 01:45:30,全程高速，都散了吧
2022-04-14 02:08:17,5小时 nb
2022-04-14 19:50:33,这个好啊，自动物流系统
2022-04-14 22:13:58,从油门上来看拉的货不重
2022-04-14 22:50:44,这路况也太好了 
2022-04-15 00:37:08,不会完，人力资源永远会有人用
2022-04-15 05:18:58,直升机？
2022-04-15 05:23:15,匝道对卡车来说也挺难的
2022-04-15 05:23:25,曲率小
2022-04-15 15:39:23,为啥要开雨刮器
2022-04-22 19:17:33,高速上遇到临时路障关闭一根车道，怎么识别？
2022-04-29 16:26:01,這測試環境選的厲害了，雨天，然後還從黑夜開到黎明！牛！
2022-05-06 16:03:13,这个判断就很好，左前方大货车避免并行，但左后存在货车时，存在拥堵则选择超越
2022-07-31 13:07:48,无人驾驶时代正在加速到来
2022-07-31 13:12:32,正在下雨？
2022-08-24 00:27:06,哪家的控制能做到过这种大曲率弯道不晃啊？
