send_time,text
2021-06-24 10:27:55,没有一家做到，你把华为的智能驾驶当啥啊
2021-06-24 20:55:39,再过几个月就有落地的了
2021-06-24 20:58:23,和华为差距还是挺大的
2021-06-24 21:05:20,沉鱼方案？？？
2021-06-24 21:40:13,talk is cheap，这么好赶紧拿出来卖
2021-06-24 21:41:26,自动驾驶现在至少10个世界第一了，赶紧拿出产品来吧
2021-06-24 23:15:42,L7？现在自动驾驶通货膨胀的这么厉害？
2021-06-25 00:54:10,太慢了 都这样开以后路会越来越堵
2021-06-25 00:56:09,你想过吗路上这种车多了 路况会越来越堵 
2021-06-25 00:56:59,这种测试合法吗？
2021-06-25 00:58:32,你能安心交给他开吗？出一次故障生命可能就没了
2021-06-25 04:41:14,这种车越多越不会堵，因为没有了恶意强行变道并线和违章行为道路会更通畅
2021-06-25 09:24:44,用大太阳天养成我们不接管的好习惯，然后雨雪天
2021-06-25 10:36:40,这都停下来等了这么久电动车了，要是我肯定急都急死了
2021-06-25 10:37:39,这叫短？
2021-06-25 10:40:27,这都能强行解释？
2021-06-25 12:21:24,极狐呢
2021-06-25 14:09:31,靠命名L7混淆视听，技术能高到那里去？
2021-06-25 15:36:05,有点像R的内饰
2021-06-25 15:56:11,比华为厉害
2021-06-25 19:18:20,踩别人就不好了
2021-06-25 21:55:25,冗（rong三声）余
2021-06-25 21:56:25,华为呢
2021-06-25 22:07:08,直接发视频就好，越吹越觉得假
2021-06-26 00:03:45,闯黄灯了
2021-06-26 09:34:57,有高精地图，看似开放路口，系统内部其实已经预设了航迹，up请继续忽悠
2021-06-26 09:38:29,看右上角，测试车后面的一辆车帮测试车挡住了左侧车流才让测试车成功并线，up主请继续忽悠
2021-06-26 09:42:06,还是看右上角，又是后车先向右变道帮测试车挡住车流测试车才成功变道，up主请继续忽悠
2021-06-26 09:44:38,有高精地图，专门针对这段路段有优化罢了，换一段其他路试试。up主请继续忽悠
2021-06-26 14:56:34,没激光只有能力有啥用
2021-06-26 15:39:14,闯黄灯可还行
2021-06-26 21:03:23,华为是第一个落地的自动驾驶吧
2021-06-27 14:17:54,那个字念rong yu
2021-06-28 13:47:48,冗（rong）余
2021-06-29 01:30:59,全程嘎吹？？？？
2021-06-29 01:32:41,不停的念台词嘎吹？？？
2021-06-29 17:08:38,吹得好尬
2021-07-01 19:44:36,L7？？
2021-07-01 19:46:17,开局几段视频，全程靠一张嘴
2021-07-01 20:15:45,这叫没剪？
2021-07-02 01:26:31,发展需要过程，要支持不容易的进步
2021-07-02 14:16:25,华为呢
2021-07-02 14:19:03,华为的处理更老司机的熟练，智己还是很生涩好吧
2021-07-02 14:23:27,上市后和华为无人驾驶直接对飚一下就知道谁强谁弱，现在哔哔都是心虚，华为直说自己不谈别人
2021-07-03 09:02:59,以前都是说 超过特斯拉，现在是对比华为，华为nb
2021-07-04 23:12:40,最特么恶心一群华为海军了，一辈子华为黑，没有底线的吹牛皮企业
2021-07-06 23:22:20,主持人被充值了，哈哈
2021-07-07 02:15:37,念就完了
2021-07-07 12:00:58,华为笑了
2021-07-10 20:15:31,什么叫踩同行比较啊说到华为就不能有丝毫的质疑真是活见鬼了
2021-07-11 12:09:17,你搁这吹呢
2021-07-15 05:00:26,下暴雨就知道了
2021-07-15 05:05:38,简单说，现在扫地机器人都知道要用激光+视觉+超声雷达，家里环境总没有路面上复杂吧，居然还减配了​，效果咋样需要继续验证
2021-07-19 12:15:29,up主是基于白盒还是黑盒在这分析呢
2021-07-23 03:53:57,那段华为的视频引爆了市场，也树立了一个标杆
2021-07-23 07:14:41,这个难度大，不错不错
2021-08-03 13:32:23,华为的吗？
2021-08-13 19:21:01,11月才能试驾
2021-08-21 00:45:31,chen余方案？？？？
2021-08-29 00:05:46,和华为还是差很远
2021-09-18 13:51:44,你看不起华为？
2021-09-28 19:52:59,你让它来北京的早高峰试试
2021-10-07 21:47:11,人家给他都没捡，他给你剪了。 OK.
2021-11-28 22:41:13,原片没剪，你不能让up主也不剪吧
2022-03-21 00:25:40,有一说一，华为的自动驾驶更接近真人的风格。
2022-04-14 10:01:01,确实尬吹
2022-05-06 13:55:47,Ex，这个躲避右侧的鬼探头叫没有必要？！ 三责买了 500W 是吧？！
2022-05-06 13:59:42,好家伙，请个专业车手帮我开两星期，是不是就可以用自动驾驶送豆腐了？
2022-05-06 14:02:35,然而目前道路上的车辆，一半左右连 ESP 都还没有。
2022-05-18 18:45:56,快。华为粉快说华为好。华为榜！
2022-05-31 18:05:33,菊花就算了
2022-06-09 01:15:32,小鹏ngp也有吧 只是不给试而已
2022-06-09 01:19:11,真实场景有人让也正常吧 虽然不排除有车故意保护
2022-06-09 18:27:06,记得用华为技术的极狐不比这差吧
2022-06-10 20:08:45,绷不住了，杠精真的能从任何地方发现刚点
2022-06-10 20:12:15,只能说两个都差不多，华子真是无时无刻都在请水军
2022-06-10 20:14:48,无脑嘎吹华为真的够了，这是手机开箱视频吗
2022-07-14 12:35:43,农村乡镇敢来吗
2022-07-19 13:35:40,没办法 华为有几个正常的- -
2022-09-24 18:17:58,高精地图早就预设好了，UP主要么被充值，要么就是完全不懂在尬吹
2022-09-29 18:20:57,momenta的
2022-10-01 18:09:51,哈哈哈哈哈哈哈哈，落雁计划
