uname,mid,level,sex,send_time,like,is_sub,text
小菠萝和小番茄,43902758,5,保密,2021-04-27 23:05:11,5224,False,特斯拉在颠簸路况下有概率会使动能回收异常，导致刹车变硬踩不下去。
夜宇行舟,94435218,6,保密,2021-04-28 01:26:50,32,True,还有湿滑路面，开这种电子轱辘整天提心吊胆[辣眼睛]
豆瓣酱な,3483551,5,男,2021-04-28 09:45:30,393,True,果然不是车的问题，原因就是你们国内减速带太多导致的！[doge]
沐桐的牧童,406941527,6,保密,2021-04-28 12:21:46,3,True,https://b23.tv/BV1S54y1j7S4
不讲wudeの年轻人,110349002,6,保密,2021-04-28 13:26:06,73,True,胡说！ 明明是车主力气太小踩不下去，跟车有什么关系[doge]
262-hs,8774642,6,保密,2021-04-28 15:55:59,9,True,大力能出奇迹吗
风行贾,334373020,5,男,2021-04-28 16:06:03,0,True,我赞成
赤情惊鸿,25687564,5,保密,2021-04-28 16:39:48,10,True,实锤！确实是道路问题！
东方未明桑,2990484,6,男,2021-04-28 23:04:41,5,True,会不会是ESP系统介入，导致优先级比刹车高？
sullix,359558062,5,保密,2021-04-29 02:44:01,19,True,这等于说核心问题都是用户检测出来的，而且除了那个官司不用出一分钱，这家公司的研发干啥吃的啊，这公司太离谱了
小不点呆毛王,95529298,4,保密,2021-04-29 06:12:35,1,True,回复 @不讲wudeの年轻人 :我怕我力气大把车底才穿了把我脚磨秃噜皮
职业钢筋,37417143,5,保密,2021-04-29 06:54:15,4,True,实锤，都是车主肌无力导致的
老实人小黒,436546761,5,女,2021-04-29 14:08:47,6,True,我开过的几款新能源车 动能回收在高速过坑的时候都会失效我估计是检测到车轮空转 怕打滑所以关闭的 不过过减速带动能回收消失还真没见过（没开过特斯拉）
风泊琴,35206097,6,男,2021-04-29 21:08:29,0,True,还在洗地吗？
陆地鍵仙,1437111123,4,男,2021-04-29 23:22:31,1,True,我开吉利的ev感觉过减速带也有点问题，不知道动能回收都是这样吗
传说中的肉夹馍,2324871,6,男,2021-04-30 22:50:00,6,True,回复 @老实人小黒 :问题是能量回收不让用没问题，刹车居然会变硬就是大问题了。。。
丶泡菜君,11371105,5,男,2021-05-01 01:26:25,25,True,回复 @不讲wudeの年轻人 :[妙啊]只需要60kg的力就可以踩下去了呢 就是车主没使劲
npjfx,49518105,5,保密,2021-05-01 06:34:42,4,True,失灵不失灵先不说，想要最大制动就得踩出abs。问题很多时候明明感觉很危险，但踩不出abs，其实没使劲。开的其他车，不是特斯拉。
dfdtc-大头菜,22351855,6,女,2021-05-01 07:03:44,1,True,回复 @东方未明桑 :我觉得应该是
マキマ小姐の狗,21713276,6,男,2021-05-01 08:29:00,4,True,电动车过减速带会使abs工作打滑 然后会感觉到提速  和刹车弹脚，电动车都有点这种，abs比燃油车容易启动些
克劳修斯跋拓岩,281223393,5,男,2021-05-01 21:00:07,0,True,特斯拉，一听到就怕了
科技创造柯基,114859894,5,保密,2021-05-02 22:09:12,2,True,最怕后面跟辆特斯拉
ipooo,2826946,6,男,2021-05-03 02:32:34,1,True,过减速带车竟然会加速，这就是电脑设计错误
ipooo,2826946,6,男,2021-05-03 02:33:41,0,True,回覆 @sullix :他们就是垃圾公司，互联网公司
bili_25723502,25723502,5,保密,2021-05-03 17:54:12,0,True,正常评论下面抖机灵的小学生咋这么多
bili_25723502,25723502,5,保密,2021-05-03 17:55:41,1,True,回复 @风泊琴 :说它系统异常也算洗吗？
唯-582,1216019164,4,保密,2021-05-04 10:18:02,0,True,回复 @丶泡菜君 :每平方厘米140kg的力[doge]
账号已注销,116320454,0,保密,2021-05-04 11:46:51,3,True,回复 @东方未明桑 :程序是外包给三哥的，出点bug正常[撇嘴]
勿亿-,476722848,4,男,2021-05-08 11:50:16,1,True,回复 @118302899 :你怎么这么欠赞呢[doge]
另刂忄荒,270446562,5,保密,2021-05-09 23:49:43,1,True,回复 @丶泡菜君 :【关于特斯拉刹车失灵，听听专业人士怎么说-哔哩哔哩】https://b23.tv/R7IJeC，不止60kg 至少140kg[笑哭]
幻虚道长,31931247,6,男,2021-05-11 11:47:52,1,True,回复 @东方未明桑 :特斯拉在颠簸路段会同时关闭动能回收和刹车助力
_望江楼上望江流,57567682,5,保密,2021-05-14 12:30:54,0,True,回复 @不讲wudeの年轻人 :我一脚下去能像奥特曼一样踩塌一栋楼，请问这脚力配买特斯拉吗，配踩特斯拉的刹车吗
风铃木之花,312763327,5,保密,2021-05-14 13:16:35,0,True,太好了，用生命来做试验，这是什么样的高尚精神[歪嘴]
我欲II成魔,392308589,5,保密,2021-08-01 12:13:16,0,True,【特斯拉VS汉EV     简单碰撞预测-哔哩哔哩】https://b23.tv/eMYoIf
RoyMustang1991,11286759,6,男,2021-10-14 12:46:57,0,True,回复 @npjfx :踩不处abs是因为轮胎没抱死，就是说你的刹车最大也到不了轮胎的极限，要么你升级过轮胎要么你刹车泵小了，刹车力不足
萌萌哒庫洛,324355461,5,男,2021-10-26 17:32:09,0,True,别黑了，特斯拉已经原谅车主了还想怎么样
